Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,1024,332671,4.99837e+07,335.997,6722.13,2.1689e+09,25183.6,1024,6.16457,357,9,5030,294,1,1,150528,9408,2.23626e+09,111776448,11264.7,1130.5,4,12784.4,111776448, 2041347, 2041347, 150528, 54.7562, 111776448, 9408, 9408, 9408, 11881, 111776448, 111776448, 3041536, 760384, 1, 1, 3, 1, 1, 1, 1, 7, 7, 7, 48, 56
Resnet50,CONV2_1_1,1024,25090,7.02537e+08,511.959,728.729,2.15045e+09,24279.2,1024,32.1556,544,9,2208,6,1,1,200704,4096,1.82838e+07,12845056,11264.7,226.099,4,12784.4,12845056, 802624, 802624, 200704, 16.0038, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 200704, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1024, 16
Resnet50,CONV2_1_2,1024,35020,1.26056e+08,3069.54,24350.6,2.15045e+09,24279.2,1024,67.3745,3264,9,19616,54,1,1,200704,36864,8.52758e+08,107495424,11264.7,226.099,4,12784.4,107495424, 2320704, 2320704, 200704, 46.3202, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 1, 10, 1, 1, 1, 1, 3, 3, 3, 1024, 48
Resnet50,CONV2_1_3,1024,100354,7.28045e+08,511.99,703.24,2.15045e+09,24279.2,1024,32.1537,544,9,2208,6,1,1,200704,16384,7.05729e+07,51380224,11264.7,226.099,4,12784.4,51380224, 3210304, 3210304, 200704, 16.0048, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1024, 16
Resnet50,CONV2_1_Residual,1024,3137,4.65709e+07,255.918,5495.24,2.15045e+09,24279.2,1024,256.082,512,9,1534,6,1,1,802816,256,1.72386e+07,802816,11264.7,226.099,4,12784.4,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV2_2_1,1024,100354,8.76815e+07,511.99,5839.2,2.15045e+09,24279.2,1024,32.1614,544,9,2208,6,1,1,802816,16384,5.85987e+08,51380224,11264.7,226.099,4,12784.4,51380224, 3211072, 3211072, 802816, 16.001, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1024, 16
Resnet50,CONV2_2_2,1024,35020,3.63829e+08,3069.54,8436.77,2.15045e+09,24279.2,1024,67.3745,3264,9,19616,54,1,1,200704,36864,2.95456e+08,107495424,11264.7,226.099,4,12784.4,107495424, 2320704, 2320704, 200704, 46.3202, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 1, 10, 1, 1, 1, 1, 3, 3, 3, 1024, 48
Resnet50,CONV2_2_3,1024,100354,7.28045e+08,511.99,703.24,2.15045e+09,24279.2,1024,32.1537,544,9,2208,6,1,1,200704,16384,7.05729e+07,51380224,11264.7,226.099,4,12784.4,51380224, 3210304, 3210304, 200704, 16.0048, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1024, 16
Resnet50,CONV2_2_Residual,1024,3137,4.65709e+07,255.918,5495.24,2.15045e+09,24279.2,1024,256.082,512,9,1534,6,1,1,802816,256,1.72386e+07,802816,11264.7,226.099,4,12784.4,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV2_3_1,1024,100354,8.76815e+07,511.99,5839.2,2.15045e+09,24279.2,1024,32.1614,544,9,2208,6,1,1,802816,16384,5.85987e+08,51380224,11264.7,226.099,4,12784.4,51380224, 3211072, 3211072, 802816, 16.001, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1024, 16
