Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV3_3_3,256,458754,1.28218e+09,112,87.3508,7.00531e+07,3099.55,64,56.0381,60,9,352,28,1,1,100352,65536,4.00725e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25629808, 25629808, 100352, 2.00471, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 28, 2
Resnet50,CONV3_3_Residual,256,7170,3.71421e+08,55.9844,150.73,7.00531e+07,3099.55,64,56.0006,58,9,456,24,1,1,401408,512,1.08074e+06,401408,2816.18,56.5248,4,222.848,401408, 400900, 400900, 401408, 1.00127, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 28, 1
Resnet50,CONV3_4_1,256,229378,3.31284e+08,111.999,338.075,7.00531e+07,3099.55,64,56.055,60,9,352,28,1,1,200704,32768,7.7547e+07,25690112,2816.18,56.5248,4,222.848,25690112, 12821872, 12821872, 200704, 2.00362, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 6422528, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 28, 2
Resnet50,CONV3_4_2,256,270030,5.08393e+08,369.145,726.101,7.23597e+07,3212.6,64,314.859,1008,9,2120,180,1,1,100352,147456,1.96069e+08,99680256,2816.18,169.574,4,222.848,99680256, 16618152, 16618152, 100352, 5.99828, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 2768896, 1, 2, 16, 5, 1, 1, 1, 1, 1, 1, 26, 6
Resnet50,CONV3_4_3,256,458754,1.28218e+09,112,87.3508,7.00531e+07,3099.55,64,56.0381,60,9,352,28,1,1,100352,65536,4.00725e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25629808, 25629808, 100352, 2.00471, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 28, 2
Resnet50,CONV3_4_Residual,256,7170,3.71421e+08,55.9844,150.73,7.00531e+07,3099.55,64,56.0006,58,9,456,24,1,1,401408,512,1.08074e+06,401408,2816.18,56.5248,4,222.848,401408, 400900, 400900, 401408, 1.00127, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 28, 1
Resnet50,CONV4_1_1,256,458753,3.39333e+08,55.9999,165.029,7.00531e+07,3099.55,64,28.4175,34,9,184,28,1,1,401408,131072,7.57077e+07,25690112,2816.18,56.5248,4,222.848,25690112, 12902968, 12902968, 401408, 1.99102, 25690112, 131072, 131072, 131072, 196, 25690112, 25690112, 200704, 6422528, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 15, 2
Resnet50,CONV4_1_2,256,302854,4.75715e+08,280.448,589.529,7.23597e+07,3212.6,64,150.801,504,9,1056,180,1,1,50176,589824,1.78541e+08,84934656,2816.18,169.574,4,222.848,84934656, 14234544, 14234544, 50176, 5.9668, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 2359296, 1, 2, 8, 3, 1, 1, 1, 1, 1, 1, 12, 6
Resnet50,CONV4_1_3,256,917505,1.19379e+09,55.9999,46.9094,7.00531e+07,3099.55,64,28.125,32,9,184,28,1,1,50176,262144,4.30396e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25532472, 25532472, 50176, 2.01235, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 2
Resnet50,CONV4_1_Residual,256,7169,3.6145e+08,27.9961,77.4549,7.00531e+07,3099.55,64,28.0006,30,9,232,24,1,1,200704,1024,555274,200704,2816.18,56.5248,4,222.848,200704, 199684, 199684, 200704, 1.00511, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 1
