Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV4_1_3,256,603908,7.68343e+08,85.0796,110.731,7.00531e+07,3099.55,64,21.7416,106,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_1_Residual,256,3153,1.16897e+07,63.6549,5445.4,7.00531e+07,3099.55,64,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,222.848,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV4_2_1,256,604100,2.43259e+08,85.0525,349.638,7.00531e+07,3099.55,64,21.762,106,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_2_2,256,706524,4.93509e+08,120.215,243.592,7.00531e+07,3099.55,64,12.5795,151,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,222.848,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV4_2_3,256,603908,7.68343e+08,85.0796,110.731,7.00531e+07,3099.55,64,21.7416,106,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_2_Residual,256,3153,1.16897e+07,63.6549,5445.4,7.00531e+07,3099.55,64,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,222.848,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV4_3_1,256,604100,2.43259e+08,85.0525,349.638,7.00531e+07,3099.55,64,21.762,106,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_3_2,256,706524,4.93509e+08,120.215,243.592,7.00531e+07,3099.55,64,12.5795,151,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,222.848,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV4_3_3,256,603908,7.68343e+08,85.0796,110.731,7.00531e+07,3099.55,64,21.7416,106,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_3_Residual,256,3153,1.16897e+07,63.6549,5445.4,7.00531e+07,3099.55,64,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,222.848,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV4_4_1,256,604100,2.43259e+08,85.0525,349.638,7.00531e+07,3099.55,64,21.762,106,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_4_2,256,706524,4.93509e+08,120.215,243.592,7.00531e+07,3099.55,64,12.5795,151,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,222.848,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV4_4_3,256,603908,7.68343e+08,85.0796,110.731,7.00531e+07,3099.55,64,21.7416,106,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_4_Residual,256,3153,1.16897e+07,63.6549,5445.4,7.00531e+07,3099.55,64,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,222.848,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV4_5_1,256,604100,2.43259e+08,85.0525,349.638,7.00531e+07,3099.55,64,21.762,106,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_5_2,256,706524,4.93509e+08,120.215,243.592,7.00531e+07,3099.55,64,12.5795,151,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,222.848,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV4_5_3,256,603908,7.68343e+08,85.0796,110.731,7.00531e+07,3099.55,64,21.7416,106,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_5_Residual,256,3153,1.16897e+07,63.6549,5445.4,7.00531e+07,3099.55,64,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,222.848,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV4_6_1,256,604100,2.43259e+08,85.0525,349.638,7.00531e+07,3099.55,64,21.762,106,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_6_2,256,706524,4.93509e+08,120.215,243.592,7.00531e+07,3099.55,64,12.5795,151,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,222.848,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV4_6_3,256,603908,7.68343e+08,85.0796,110.731,7.00531e+07,3099.55,64,21.7416,106,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV4_6_Residual,256,3153,1.16897e+07,63.6549,5445.4,7.00531e+07,3099.55,64,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,222.848,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV5_1_1,256,305028,1.37208e+08,84.2221,613.828,7.00531e+07,3099.55,64,23.0478,106,9,648,6,1,1,200704,524288,1.87235e+08,25690112,2816.18,56.5248,4,222.848,25690112, 6414400, 6414400, 200704, 4.00507, 25690112, 524288, 524288, 524288, 49, 25690112, 25690112, 100352, 401408, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV5_1_2,256,511900,3.62666e+08,115.223,317.71,7.00531e+07,3099.55,64,18.8471,151,9,5768,54,1,1,25088,2359296,1.62636e+08,58982400,2816.18,56.5248,4,222.848,58982400, 6808128, 6808128, 25088, 8.66353, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 102400, 1, 3, 45, 5, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV5_1_3,256,609796,6.36991e+08,84.2581,132.275,7.00531e+07,3099.55,64,23.0205,106,9,648,6,1,1,25088,1048576,8.06608e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12812352, 12812352, 25088, 4.01021, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV5_1_Residual,256,1601,5.89885e+06,62.6808,10625.9,7.00531e+07,3099.55,64,261.224,512,9,1536,6,1,1,100352,2048,1.70121e+07,100352,2816.18,56.5248,4,222.848,100352, 100352, 100352, 100352, 1, 100352, 2048, 2048, 2048, 49, 100352, 100352, 100352, 100352, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV5_2_1,256,610180,2.67202e+08,84.205,315.136,7.00531e+07,3099.55,64,23.0613,106,9,648,6,1,1,100352,1048576,1.9229e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12836928, 12836928, 100352, 4.00253, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 25088, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV5_2_2,256,511900,5.29281e+08,115.223,217.696,7.00531e+07,3099.55,64,18.8471,151,9,5768,54,1,1,25088,2359296,1.11439e+08,58982400,2816.18,56.5248,4,222.848,58982400, 6808128, 6808128, 25088, 8.66353, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 102400, 1, 3, 45, 5, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV5_2_3,256,609796,6.36991e+08,84.2581,132.275,7.00531e+07,3099.55,64,23.0205,106,9,648,6,1,1,25088,1048576,8.06608e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12812352, 12812352, 25088, 4.01021, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV5_2_Residual,256,1601,5.89885e+06,62.6808,10625.9,7.00531e+07,3099.55,64,261.224,512,9,1536,6,1,1,100352,2048,1.70121e+07,100352,2816.18,56.5248,4,222.848,100352, 100352, 100352, 100352, 1, 100352, 2048, 2048, 2048, 49, 100352, 100352, 100352, 100352, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV5_3_1,256,610180,2.67202e+08,84.205,315.136,7.00531e+07,3099.55,64,23.0613,106,9,648,6,1,1,100352,1048576,1.9229e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12836928, 12836928, 100352, 4.00253, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 25088, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV5_3_2,256,511900,5.29281e+08,115.223,217.696,7.00531e+07,3099.55,64,18.8471,151,9,5768,54,1,1,25088,2359296,1.11439e+08,58982400,2816.18,56.5248,4,222.848,58982400, 6808128, 6808128, 25088, 8.66353, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 102400, 1, 3, 45, 5, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV5_3_3,256,609796,6.36991e+08,84.2581,132.275,7.00531e+07,3099.55,64,23.0205,106,9,648,6,1,1,25088,1048576,8.06608e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12812352, 12812352, 25088, 4.01021, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV5_3_Residual,256,1601,5.89885e+06,62.6808,10625.9,7.00531e+07,3099.55,64,261.224,512,9,1536,6,1,1,100352,2048,1.70121e+07,100352,2816.18,56.5248,4,222.848,100352, 100352, 100352, 100352, 1, 100352, 2048, 2048, 2048, 49, 100352, 100352, 100352, 100352, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,FC1000,256,1947903,3.78845e+09,51.518,13.5987,7.46664e+07,3325.65,64,149.83,150,9,31368,294,1,1,100352,100352000,2.64889e+07,100352000,2816.18,282.624,4,222.848,100352000, 24307136, 24307136, 100352, 4.1285, 100352000, 100352000, 100352000, 100352000, 1, 100352000, 100352000, 1000, 32000, 1, 196, 245, 243, 1, 1, 1, 104, 104, 104, 256, 0.8
